_id,gigsterApproved,pmApproved,seApproved
ObjectId(54738d9440b8e10200dad6b5),%!s(bool=true),%!s(bool=false),%!s(bool=false)
ObjectId(5473958640b8e10200dad6c5),%!s(bool=false),,
ObjectId(5473a41fc3295f02000e9289),%!s(bool=false),,
ObjectId(5473d6a4c3295f02000e92c0),%!s(bool=false),,
ObjectId(5473ea74c3295f02000e92cc),%!s(bool=false),,
ObjectId(5473f27cc3295f02000e92d7),%!s(bool=false),,
ObjectId(5473f5f6c3295f02000e92e7),%!s(bool=false),%!s(bool=false),%!s(bool=false)
ObjectId(54743c19c3295f02000e9300),%!s(bool=false),,
ObjectId(54744f8bc3295f02000e9303),%!s(bool=false),,
ObjectId(54746448c3295f02000e930a),%!s(bool=false),,
ObjectId(547469b4c3295f02000e930c),%!s(bool=false),,
ObjectId(5474776dc3295f02000e9316),%!s(bool=false),,
ObjectId(547479c2c3295f02000e9318),%!s(bool=false),,
ObjectId(547484eec3295f02000e931b),%!s(bool=false),,
ObjectId(54748927c3295f02000e931d),%!s(bool=false),,
ObjectId(5474914dc3295f02000e9324),%!s(bool=false),,
ObjectId(5474993ec3295f02000e9331),%!s(bool=false),,
ObjectId(54749d82c3295f02000e9335),%!s(bool=false),,
ObjectId(5474a9cec3295f02000e933b),%!s(bool=false),,
ObjectId(5474adc6c3295f02000e9340),%!s(bool=false),,
ObjectId(5474d7c5c3295f02000e934a),%!s(bool=false),,
ObjectId(5474df33434aa00200fb884a),%!s(bool=true),%!s(bool=false),%!s(bool=false)
ObjectId(54756969434aa00200fb887a),%!s(bool=false),,
ObjectId(54758512434aa00200fb8883),%!s(bool=false),,
ObjectId(5475920b434aa00200fb8886),%!s(bool=false),,
ObjectId(547599be434aa00200fb8888),%!s(bool=false),,
ObjectId(54759ca1434aa00200fb888b),%!s(bool=false),,
ObjectId(5475fcf4434aa00200fb8890),%!s(bool=false),,
ObjectId(54760128434aa00200fb8893),%!s(bool=false),,
ObjectId(5476461427d7eb0200c93df4),%!s(bool=false),,
ObjectId(5476784027d7eb0200c93dfd),%!s(bool=false),,
ObjectId(54768ea427d7eb0200c93e00),%!s(bool=false),,
ObjectId(54770e5927d7eb0200c93e0d),%!s(bool=false),,
ObjectId(54771d9d27d7eb0200c93e0f),%!s(bool=false),,
ObjectId(54779677c86e1902005c9575),%!s(bool=false),,
ObjectId(5478d4f1e4ed3a0200d65450),%!s(bool=true),%!s(bool=false),%!s(bool=false)
ObjectId(54791b0ae4ed3a0200d65453),%!s(bool=false),,
ObjectId(5479f7eae4ed3a0200d65464),%!s(bool=false),,
ObjectId(547d34fe948d330200c2349d),%!s(bool=true),%!s(bool=false),%!s(bool=false)
ObjectId(547e96af7ca71702001c8e17),%!s(bool=false),,
ObjectId(5480984b05c1a902009a2e77),%!s(bool=false),,
ObjectId(5480b63d05c1a902009a2e7d),%!s(bool=false),,
ObjectId(5482307c87ae8f0200153271),%!s(bool=false),,
ObjectId(54825d9204aef402004e9396),%!s(bool=false),,
ObjectId(54829117a9e07f02002b3e28),%!s(bool=false),,
ObjectId(5483666c3416bb02006aed99),%!s(bool=false),,
ObjectId(5484d00de71a4602000e1a00),%!s(bool=false),,
ObjectId(54850f7de71a4602000e1a11),%!s(bool=false),,
ObjectId(548584dfe71a4602000e1a15),%!s(bool=false),,
